Ranking,Player,Birth,Age,Bloodtype,2023_Prize,Average number of hit,Average Drive ,Average Putting,Average number of birdie,Green Hit Rate,Par Save Rate,Par break Rate,Recovery Rate,Total Win,Major Win,2023_Win
96,유수연,1993,31,O,"16,237,000 ",74.375,230.62,31.6875,12.1528,66.6667,77.7778,12.1528,56.25,0,0,0
97,김소정,2000,24,AB,"15,840,000 ",74.6471,239.54,30.3529,12.0915,60.4575,78.1046,12.0915,56.1983,0,0,0
98,김지영2,1996,28,AB,"15,041,667 ",74.3333,247.63,30,11.1111,57.0988,77.7778,11.1111,57.554,2,0,0
99,윤선정,1994,30,B,"15,022,000 ",73.7895,235.15,30.9474,10.5263,64.6199,80.9942,10.8187,61.157,0,0,0
100,이지현2,1996,28,A,"14,345,000 ",74.1875,230.82,30.875,14.2361,62.5,77.0833,14.2361,51.8519,1,0,0
101,곽보미,1992,32,B,"14,315,000 ",74.2778,252.88,31.2778,15.1235,67.9012,76.2346,15.4321,41.3462,1,0,0
102,김아림,1995,29,AB,"12,025,000 ",71.5,257.46,31,16.6667,75,86.1111,16.6667,66.6667,3,1,0
103,안지현,1999,25,O,"10,130,000 ",76.9375,237.43,30.625,10.0694,55.2083,71.1806,10.0694,44.9612,0,0,0
104,백수빈,1996,28,AB,"9,555,000 ",74.8824,234.64,31.6471,10.7843,65.3595,77.1242,10.7843,50.9434,0,0,0
105,김연희,2001,23,O,"7,640,000 ",75.5294,227.76,31.7059,8.8235,59.8039,73.8562,8.8235,52.8455,0,0,0
106,엄규원,2000,24,O,"7,640,000 ",74.9444,228.28,30.3889,11.7284,58.3333,75,11.7284,57.037,0,0,0
107,김하니,1999,25,B,"7,400,000 ",75.1053,232.19,30.6316,9.3567,58.7719,76.9006,9.3567,56.0284,0,0,0
108,김아로미,1998,26,B,"7,280,000 ",75.625,240.12,30,10.7639,53.8194,72.9167,10.7639,53.3835,0,0,0
109,김세영,1993,31,A,"6,850,000 ",72.5,248.61,31.5,20.8333,75,77.7778,20.8333,33.3333,5,1,0
110,이수진3,1996,28,B,"6,345,000 ",72,245.02,31.3333,12.963,74.0741,88.8889,12.963,78.5714,0,0,0
111,김세은,1998,26,B,"6,280,000 ",72.5,203.5,30.5,8.3333,66.6667,88.8889,8.3333,75,0,0,0
112,황연서,2003,21,A,"6,280,000 ",73.9444,232.55,31.2778,12.037,66.358,79.321,12.3457,50.4587,0,0,0
113,신지애,1988,36,A,"5,629,331 ",71.5,229.44,29.5,22.2222,66.6667,80.5556,22.2222,66.6667,20,5,0
114,안소현,1995,29,A,"5,440,000 ",75.1429,232.65,30.6429,13.8889,59.5238,72.2222,13.8889,47.0588,0,0,0
115,최혜용,1990,34,B,"5,440,000 ",74.4167,231.74,31.6667,10.6481,63.4259,77.3148,10.6481,51.8987,2,0,0
116,신지원2,1997,27,B,"4,960,000 ",74.1111,227.31,31.7778,8.642,67.284,80.8642,8.642,58.4906,0,0,0
117,유경민,2001,23,O,"4,960,000 ",73.6667,250.68,31.3333,13.5802,67.9012,79.6296,13.5802,50,0,0,0
118,윤다현,2001,23,B,"4,240,000 ",76.9375,235.62,31.375,7.2917,57.2917,72.2222,7.2917,46.3415,0,0,0
119,김새로미,1998,26,B,"4,000,000 ",74.5,222.87,30.5,5.5556,58.3333,80.5556,5.5556,60,0,0,0
120,최가람,1992,32,B,"4,000,000 ",76.2857,221.71,31.4286,8.7302,54.7619,73.8095,8.7302,57.8947,0,0,0
121,장하나,1992,32,O,"3,195,000 ",80.9167,206.06,28.9167,5.5556,27.7778,56.0185,5.5556,41.0256,15,4,0
